material_id,formula,n_elements,spacegroup_number,formation_energy_per_atom_eV,energy_above_hull_eV,band_gap_eV,is_metal,bulk_modulus_GPa,shear_modulus_GPa,poisson_ratio,density_g_cm3,nsites,volume_A3,melting_point_K,is_stable,bulk_shear_ratio,stiffness_density_ratio,shear_density_ratio,energy_stability_score,elastic_consistency_error,crystal_system_hexagonal,crystal_system_monoclinic,crystal_system_orthorhombic,crystal_system_tetragonal,crystal_system_triclinic,crystal_system_trigonal,category_Boride,category_Carbide,category_Ceramic,category_Chalcogenide,category_Halide,category_Intermetallic,category_Metal,category_Nitride,category_Oxide,category_Perovskite,category_Phosphide,category_Semiconductor,category_Silicate,category_Sulfide,band_gap_category_narrow_gap,band_gap_category_semiconductor,band_gap_category_insulator
mp-121959,Ta3Au3H2,0.658085720066446,0.6701241538952633,0.6416241174157999,-0.5701971021664594,-0.06297795085169865,-0.6943200283770038,-1.3986796506836043,-1.195259557539222,0.2023345005941111,-0.37685291429296586,-1.0383098576944423,-0.7939542080692337,-0.6317142905804023,0.762475312810322,-0.18039247104621026,-0.6330695065728262,-0.6053932888676451,0.6780409989522611,-0.7514124152883908,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
mp-23248,Al3Rh4W3,0.658085720066446,0.4875632560490924,0.24569081162933523,2.192152034845543,-0.8335982496475894,1.4402580353868424,-1.1201225209710515,-0.8016644281612739,-0.791222971862808,0.46495169442504974,-0.7680062548488213,-0.3952625304100825,-0.47579303045040666,-1.3115178723809593,-0.7305452862876143,-0.6091191729282236,-0.5390020007362809,0.14475485453273565,-0.5527527778448996,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
mp-526982,Pd3Te3,-0.4946121972473927,1.217806847433776,1.1472947403795424,0.589167492023288,-0.8335982496475894,1.4402580353868424,1.3257826559714794,0.9671101664394803,0.08653134924355774,1.7705508887250707,-0.7680062548488213,0.016162822778831687,-0.576683257593345,-1.3115178723809593,-0.13928963031293287,-0.28644435845424643,-0.2981888058387634,1.1357416847770496,-0.11130062602964333,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
mp-984775,Ne4Cd4,-0.4946121972473927,-0.6860425158191491,0.7530927272184473,-0.0613806115624015,-0.10667291624734189,-0.6943200283770038,3.7729956128657136,3.0291102482416856,0.15198530435474014,-1.2796831263770347,3.016244184989871,0.28075019730635353,-0.6500579682427547,-1.3115178723809593,-0.19538486312431247,4.26566394432429,3.880867992745904,0.7668657335832523,0.911527266854227,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
mp-965909,Al4Rh,-0.4946121972473927,0.8918052441370422,0.6540761066828819,-0.10815204384634003,-0.3315033745558338,-0.6943200283770038,0.5144835295700878,1.3914699370975805,-1.5061815584618747,-0.7196424463434254,-1.0383098576944423,-0.8066136780306413,-1.9096571677242882,-1.3115178723809593,-0.9592595891439972,0.31382438121091555,0.8094436830411698,0.6686519205387951,-0.5546984607550297,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
mp-55610,SbCu2Re2,0.658085720066446,0.174601716884228,-1.083276042875586,-0.5319295666614188,0.22660050163397374,-0.6943200283770038,-0.6558606381167967,-0.629766995008423,-0.10143898338342675,-1.0021038104948723,-0.22739904915757964,-0.6160092551533157,0.8877536757844572,0.762475312810322,-0.084992365516012,-0.08340318833805009,-0.131519377460933,-1.0735287301095142,0.4929428519576274,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
mp-547578,Fe4Ba2ScC3,1.8107836373802846,-0.4774014897092395,-1.241689318096911,-0.1776005342073396,2.243718995080125,-0.6943200283770038,-0.37445017032780287,-0.5595851570880758,0.8233079208796852,-0.48181695208257763,-0.4977026520032005,-0.5191264651086857,-0.29541353343727444,0.762475312810322,0.2854216124445665,-0.2182430797018268,-0.31479402917879007,-1.251110652044781,-0.02569195399732152,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
mp-720256,Y3Ge2,-0.4946121972473927,-1.7292476463686972,-1.5265535431481212,-0.49366203115637836,-0.3291200128069805,-0.6943200283770038,1.7452233532083072,1.0876691044560767,0.4792550799106513,-0.041735172379952855,0.31320815653366213,-0.20584539662644097,0.5728538759140738,0.762475312810322,0.04357557492747205,0.29539854232094415,0.14867279367150854,-1.525015061876469,0.3510804598609912,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
mp-755196,W3In,-0.4946121972473927,1.217806847433776,0.7118080569211707,-0.7445269861338664,-0.4447130576263641,-0.6943200283770038,2.9160430772412655,3.5476867328202517,-0.6787764335948795,-0.300483730652019,-0.22739904915757964,0.02368726741005515,1.2469840300055255,0.762475312810322,-0.7129945332337658,0.8768390087742113,1.2577987740390728,0.757544202496502,3.1287616001972247,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
mp-665221,La3Sn4Cu2Nb3,1.8107836373802846,-0.7121226440828878,1.1760608332318385,-0.344843837525665,-0.5221723144640954,-0.6943200283770038,1.7325022209508412,1.685079982315034,-0.480736261720021,-0.4985554032915521,-0.22739904915757964,-0.07877578137489046,-2.071692987075068,0.762475312810322,-0.413353939943232,0.6334846887253223,0.6999500035872177,1.2094358182237503,1.963362668329336,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
